archetype,analysis_type,model,games,winner_accuracy,brier_score,log_loss,margin_mae,total_goals_mae,calibration_gap,average_confidence_score,upset_rate,close_game_rate
offensive_shootout,multi_label_archetype,calibrated_poisson,16,0.5625,0.31011592562499996,0.9159424418869275,7.5529153726257,3.8846151857099276,0.28371875,54.128125,0.4375,0.25
offensive_shootout,multi_label_archetype,hybrid,16,0.875,0.17980550482083146,0.5465781957279059,7.5529153726257,3.8846151857099276,-0.2685167367683471,54.128125,0.125,0.25
stable_favorite,multi_label_archetype,power_v3_calibrated,23,0.9565217391304348,0.10259704271440506,0.37645565197641756,,,-0.23511935244833104,73.35521739130436,0.043478260869565216,0.34782608695652173
stable_favorite,multi_label_archetype,calibrated_poisson,23,0.9565217391304348,0.07515226913043478,0.2960560977201016,4.2056735251487405,3.2481396445612853,-0.17549565217391305,73.35521739130436,0.043478260869565216,0.34782608695652173
stable_favorite,multi_label_archetype,hybrid,23,0.9565217391304348,0.10259704271440506,0.37645565197641756,4.2056735251487405,3.2481396445612853,-0.23511935244833104,73.35521739130436,0.043478260869565216,0.34782608695652173
toss_up,multi_label_archetype,power_v3_calibrated,33,0.6060606060606061,0.2382968070939487,0.68485335157181,,,-0.09783875410029363,56.32939393939393,0.3939393939393939,0.45454545454545453
toss_up,multi_label_archetype,calibrated_poisson,33,0.48484848484848486,0.2960067968181818,0.8242109661139413,4.087513043262958,4.19062984353267,0.18513333333333348,56.32939393939393,0.5151515151515151,0.45454545454545453
toss_up,multi_label_archetype,hybrid,33,0.6060606060606061,0.2382968070939487,0.68485335157181,4.087513043262958,4.19062984353267,-0.09783875410029363,56.32939393939393,0.3939393939393939,0.45454545454545453
upset_prone,multi_label_archetype,power_v3_calibrated,53,0.7169811320754716,0.21256215870113707,0.6151904325054326,,,-0.14362293398938875,54.84056603773585,0.2830188679245283,0.37735849056603776
upset_prone,multi_label_archetype,calibrated_poisson,53,0.5094339622641509,0.2855615387264151,0.8128937811800203,4.985008196645652,3.6928208245746483,0.17158773584905673,54.84056603773585,0.49056603773584906,0.37735849056603776
upset_prone,multi_label_archetype,hybrid,53,0.7169811320754716,0.21256215870113707,0.6151904325054326,4.985008196645652,3.6928208245746483,-0.14362293398938875,54.84056603773585,0.2830188679245283,0.37735849056603776
volatile_favorite,multi_label_archetype,power_v3_calibrated,10,0.9,0.12291222711603014,0.42413053900939746,,,-0.21978095306789847,65.166,0.1,0.1
volatile_favorite,multi_label_archetype,calibrated_poisson,10,0.6,0.15979790825,0.44770605309873446,5.516689989051042,3.015143638081833,0.1953649999999999,65.166,0.4,0.1
volatile_favorite,multi_label_archetype,hybrid,10,0.9,0.12291222711603014,0.42413053900939746,5.516689989051042,3.015143638081833,-0.21978095306789847,65.166,0.1,0.1
