analysis_type,archetype,games,winner_accuracy,margin_mae,total_goals_mae,upset_rate,close_game_rate,average_confidence,brier_score,log_loss,calibration_gap,misleading_confidence_rate
most_reliable,consensus_pick,19,0.9473684210526315,3.9426648678465956,3.1452753055938025,0.05263157894736842,0.3684210526315789,73.8736842105263,0.10595968494484345,0.38316324329113466,-0.22363887167245144,0.05263157894736842
most_reliable,volatile_favorite,10,0.9,5.516689989051042,3.015143638081833,0.1,0.1,65.166,0.12291222711603014,0.42413053900939757,-0.21978095306789835,0.0
most_volatile,offensive_shootout,16,0.875,7.5529153726257,3.8846151857099276,0.125,0.25,54.128125,0.17980550482083146,0.5465781957279059,-0.2685167367683471,0.0625
most_volatile,fake_blowout,4,0.75,7.134701988612541,5.021012866444751,0.25,0.5,52.75249999999999,0.21865198817358428,0.6301032722659041,-0.21663668897745858,0.25
most_volatile,high_variance,47,0.7446808510638298,6.5759060996943,4.137102521664211,0.2553191489361702,0.23404255319148937,53.1427659574468,0.20362051510405305,0.6077902229715075,-0.18288987878584284,0.0425531914893617
strongest_upset_frequency,toss_up,33,0.6060606060606061,4.087513043262957,4.19062984353267,0.3939393939393939,0.45454545454545453,56.329393939393945,0.2382968070939487,0.68485335157181,-0.09783875410029363,0.12121212121212122
strongest_upset_frequency,deceptive_toss_up,35,0.6285714285714286,6.489216467952327,4.4724273593307515,0.37142857142857144,0.2857142857142857,51.29685714285714,0.2315770193904746,0.6704763330252447,-0.10928674811463979,0.05714285714285714
strongest_upset_frequency,upset_prone,53,0.7169811320754716,4.985008196645652,3.6928208245746497,0.2830188679245283,0.37735849056603776,54.84056603773585,0.21256215870113707,0.6151904325054324,-0.14362293398938886,0.09433962264150944
confidence_misleading,fake_blowout,4,0.75,7.134701988612541,5.021012866444751,0.25,0.5,52.75249999999999,0.21865198817358428,0.6301032722659041,-0.21663668897745858,0.25
confidence_misleading,toss_up,33,0.6060606060606061,4.087513043262957,4.19062984353267,0.3939393939393939,0.45454545454545453,56.329393939393945,0.2382968070939487,0.68485335157181,-0.09783875410029363,0.12121212121212122
confidence_misleading,upset_prone,53,0.7169811320754716,4.985008196645652,3.6928208245746497,0.2830188679245283,0.37735849056603776,54.84056603773585,0.21256215870113707,0.6151904325054324,-0.14362293398938886,0.09433962264150944
