feature_a,feature_b,correlation,abs_correlation
pregame_away_elo,rolling_goals_against_std_last_5,0.1682296045260469,0.1682296045260469
recent_opponent_avg_elo,opponent_games_played,-0.16670238468938947,0.16670238468938947
power_v3_recency_win_probability,volatility_mismatch,0.16666533410865386,0.16666533410865386
close_game_rate,offense_vs_opponent_defense_gap,0.16663337729678143,0.16663337729678143
offensive_trend,offense_vs_opponent_defense_gap,-0.16512453912688754,0.16512453912688754
offensive_sos,rating_stability,-0.16496125600211792,0.16496125600211792
pregame_home_elo,offensive_sos,-0.16434961396182857,0.16434961396182857
volatility_mismatch,strength_gap_absolute,0.16430824360763763,0.16430824360763763
games_played,recent_result_volatility,0.1629716316216656,0.1629716316216656
rolling_margin_std_last_5,games_played,0.1629716316216656,0.1629716316216656
rolling_margin_last_5,games_played,0.16265498388583288,0.16265498388583288
rolling_goals_for_std_last_5,rolling_trend_slope,-0.1620012479802182,0.1620012479802182
upset_rate,rating_stability,-0.16119148550291584,0.16119148550291584
rolling_goals_for_std_last_5,close_game_rate,-0.16039554740006,0.16039554740006
upset_rate,volatility_mismatch,-0.15984532861658637,0.15984532861658637
elo_trend,offensive_sos,-0.15953077028662435,0.15953077028662435
rolling_margin_last_3,rating_stability,-0.1590768826560899,0.1590768826560899
offensive_sos,recent_result_volatility,0.1588248314217331,0.1588248314217331
rolling_margin_std_last_5,offensive_sos,0.15882483142173306,0.15882483142173306
predicted_win_probability,volatility_mismatch,0.1570270409728884,0.1570270409728884
rolling_trend_slope,rating_stability,0.1568531418901743,0.1568531418901743
recent_vs_season_margin_delta,offensive_sos,0.1565336894174881,0.1565336894174881
pregame_away_elo,rolling_goals_for_std_last_5,-0.15633914910680166,0.15633914910680166
rolling_goals_against_std_last_5,rolling_margin_last_3,-0.15370170997919383,0.15370170997919383
power_v3_calibrated_win_probability,offense_defense_ratio,-0.1530666954348215,0.1530666954348215
power_v3_recency_win_probability,offense_defense_ratio,-0.15245389236260382,0.15245389236260382
rolling_goals_against_std_last_5,opponent_games_played,-0.152080726088505,0.152080726088505
volatility_mismatch,games_played,0.15098948455690292,0.15098948455690292
elo_home_probability,opponent_win_pct,0.15096204421221252,0.15096204421221252
pregame_home_elo,upset_rate,0.15084659405935485,0.15084659405935485
offense_vs_opponent_defense_gap,recent_result_volatility,0.1499200584998303,0.1499200584998303
rolling_margin_std_last_5,offense_vs_opponent_defense_gap,0.14992005849983026,0.14992005849983026
rolling_margin_std_last_3,offensive_sos,0.1497240981118971,0.1497240981118971
elo_home_probability,rolling_trend_slope,-0.1497204696899286,0.1497204696899286
elo_diff_home,opponent_win_pct,0.1494572351706272,0.1494572351706272
elo_diff_home,rolling_trend_slope,-0.14841061302940045,0.14841061302940045
rolling_goals_against_std_last_5,rolling_margin_last_5,-0.1475819998323008,0.1475819998323008
upset_rate,rolling_trend_slope,0.14737800994653516,0.14737800994653516
recent_vs_season_margin_delta,elo_trend,-0.14666229074860457,0.14666229074860457
rolling_margin_last_3,defensive_trend,0.14630160859675315,0.14630160859675315
elo_home_probability,offensive_sos,-0.14549576834470784,0.14549576834470784
volatility_mismatch,opponent_games_played,0.14498368317841753,0.14498368317841753
elo_diff_home,offensive_sos,-0.14453210676994413,0.14453210676994413
rolling_goals_for_std_last_5,offensive_sos,0.14376196766070407,0.14376196766070407
power_v3_calibrated_win_probability,defense_vs_opponent_offense_gap,0.14321851397781288,0.14321851397781288
power_v3_calibrated_home_probability,opponent_win_pct,0.14290377043959385,0.14290377043959385
pregame_home_elo,strength_gap_absolute,0.14248334871743815,0.14248334871743815
power_v3_recency_home_probability,opponent_win_pct,0.14200052778374533,0.14200052778374533
elo_trend,opponent_win_pct,0.1419858806959341,0.1419858806959341
defense_vs_opponent_offense_gap,offensive_sos,-0.14148643082244378,0.14148643082244378
rolling_goals_for_std_last_5,offense_defense_ratio,0.14145517610128275,0.14145517610128275
pregame_home_elo,predicted_win_probability,0.1407822087778269,0.1407822087778269
power_rating_trend,offense_vs_opponent_defense_gap,-0.14045493892088065,0.14045493892088065
offense_defense_ratio,games_played,-0.13931600753871834,0.13931600753871834
power_v3_recency_win_probability,defense_vs_opponent_offense_gap,0.13842120634755173,0.13842120634755173
rolling_goals_against_std_last_5,defensive_sos,-0.1383502860750197,0.1383502860750197
defensive_trend,defensive_sos,-0.13762578734187692,0.13762578734187692
rolling_trend_slope,games_played,-0.13714234570109538,0.13714234570109538
offense_vs_opponent_defense_gap,rating_stability,-0.13681404410466885,0.13681404410466885
recent_opponent_avg_elo,opponent_win_pct,0.1362331795995463,0.1362331795995463
power_rating_trend,defensive_sos,-0.13419087537849986,0.13419087537849986
defensive_trend,opponent_win_pct,-0.1341430428596094,0.1341430428596094
rolling_margin_std_last_3,defense_vs_opponent_offense_gap,-0.13406980713401945,0.13406980713401945
offense_defense_ratio,defensive_sos,0.13356531780346648,0.13356531780346648
upset_rate,games_played,0.13256445917811696,0.13256445917811696
pregame_away_elo,opponent_games_played,0.13192588955427148,0.13192588955427148
projected_pace_interaction,defensive_sos,0.13155458245212118,0.13155458245212118
recent_opponent_avg_power,recent_result_volatility,-0.12996965790866707,0.12996965790866707
