game_date,home_team,away_team,actual_winner,elo_predicted_winner,elo_win_probability,power_v2_predicted_winner,power_v2_win_probability,power_v3_recency_predicted_winner,power_v3_recency_win_probability,elo_correct,power_v2_correct,power_v3_recency_correct
2026-05-05,Agawam 12U,Connecticut Valley Youth Lacrosse,Agawam 12U,Connecticut Valley Youth Lacrosse,0.5164811031110428,Connecticut Valley Youth Lacrosse,0.5612879223576466,Connecticut Valley Youth Lacrosse,0.549347897447381,False,False,False
2026-05-05,Connecticut Valley Youth Lacrosse,Wethersfield 12U B,Wethersfield 12U B,Wethersfield 12U B,0.5198953640087847,Connecticut Valley Youth Lacrosse,0.5186162691635924,Connecticut Valley Youth Lacrosse,0.5226752633967189,True,False,False
2026-05-05,West Hartford 12U White,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5500446567863304,Connecticut Valley Youth Lacrosse,0.6199518941994916,Connecticut Valley Youth Lacrosse,0.6191601653082981,True,True,True
2026-05-05,West Hartford 12U Green,Connecticut Valley Youth Lacrosse,West Hartford 12U Green,West Hartford 12U Green,0.618429806843376,West Hartford 12U Green,0.6179608063639238,West Hartford 12U Green,0.6178263662572676,True,True,True
2026-05-05,Connecticut Valley Youth Lacrosse,Longmeadow 12U Black,Connecticut Valley Youth Lacrosse,Longmeadow 12U Black,0.5168697048932336,Connecticut Valley Youth Lacrosse,0.5796793460530736,Connecticut Valley Youth Lacrosse,0.5791967142795551,False,True,True
2026-05-05,Connecticut Valley Youth Lacrosse,Belchertown 12U,Belchertown 12U,Belchertown 12U,0.5080625794686067,Connecticut Valley Youth Lacrosse,0.5666288209168123,Connecticut Valley Youth Lacrosse,0.5683265766031018,True,False,False
2026-05-05,Connecticut Valley Youth Lacrosse,South Hadley 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5532949227214082,Connecticut Valley Youth Lacrosse,0.6457481013560176,Connecticut Valley Youth Lacrosse,0.6443412849376154,True,True,True
2026-05-06,Connecticut Valley Youth Lacrosse,West Springfield 12U,West Springfield 12U,West Springfield 12U,0.5954829608880726,West Springfield 12U,0.6242880471626651,West Springfield 12U,0.6325468677662447,True,True,True
2026-05-06,Connecticut Valley Youth Lacrosse,Southington 12U White,Southington 12U White,Southington 12U White,0.5336764110685875,Southington 12U White,0.5105807760924956,Southington 12U White,0.5135240379673239,True,True,True
2026-05-06,Granby 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5299818252395916,Connecticut Valley Youth Lacrosse,0.6280261199536967,Connecticut Valley Youth Lacrosse,0.6270877911591268,True,True,True
2026-05-06,Connecticut Valley Youth Lacrosse,Somers 12U White,Somers 12U White,Somers 12U White,0.5216036478508947,Connecticut Valley Youth Lacrosse,0.5124354467741874,Connecticut Valley Youth Lacrosse,0.5112492268193521,True,False,False
2026-05-06,Simsbury 12U Blue,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5350058846743657,Connecticut Valley Youth Lacrosse,0.6091465959541181,Connecticut Valley Youth Lacrosse,0.6111778160905857,True,True,True
2026-05-06,South Windsor 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,South Windsor 12U,0.5935698410258801,South Windsor 12U,0.5513619734872724,South Windsor 12U,0.5610559778783172,False,False,False
2026-05-07,Agawam 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Agawam 12U,0.5290330444778187,Connecticut Valley Youth Lacrosse,0.5048694052631435,Agawam 12U,0.5136415655894012,False,True,False
2026-05-07,Connecticut Valley Youth Lacrosse,Longmeadow 12U Black,Longmeadow 12U Black,Connecticut Valley Youth Lacrosse,0.5782097183267854,Connecticut Valley Youth Lacrosse,0.5885656543299005,Connecticut Valley Youth Lacrosse,0.5855225457578661,False,False,False
2026-05-07,Connecticut Valley Youth Lacrosse,Somers 12U Red,Connecticut Valley Youth Lacrosse,Somers 12U Red,0.5299967417008186,Somers 12U Red,0.5153580534964304,Somers 12U Red,0.5180550673486961,False,False,False
2026-05-07,Connecticut Valley Youth Lacrosse,Burlington 12U,Burlington 12U,Burlington 12U,0.5885744540921338,Burlington 12U,0.6490440549495018,Burlington 12U,0.6446769442732626,True,True,True
2026-05-07,Somers 12U Red,Suffield B,Suffield B,Somers 12U Red,0.504588009408097,Somers 12U Red,0.5084280724508948,Somers 12U Red,0.509450200059417,False,False,False
2026-05-07,Bristol 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5592545841275763,Connecticut Valley Youth Lacrosse,0.5830133663051411,Connecticut Valley Youth Lacrosse,0.5861655589042366,True,True,True
2026-05-07,Suffield 12U White,Somers 12U Red,Suffield 12U White,Suffield 12U White,0.5568961609159827,Suffield 12U White,0.564732735157057,Suffield 12U White,0.5633806212890483,True,True,True
2026-05-08,South Hadley 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.6355784361182316,Connecticut Valley Youth Lacrosse,0.6781856496826335,Connecticut Valley Youth Lacrosse,0.6791950862999507,True,True,True
2026-05-08,Connecticut Valley Youth Lacrosse,Minnechaug 12U,Minnechaug 12U,Minnechaug 12U,0.5747998716275606,Minnechaug 12U,0.6518114866433522,Minnechaug 12U,0.6534086509122199,True,True,True
2026-05-08,Connecticut Valley Youth Lacrosse,Farmington 12U Black,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5655697995651596,Connecticut Valley Youth Lacrosse,0.6279381584517804,Connecticut Valley Youth Lacrosse,0.6245367137325339,True,True,True
2026-05-08,Belchertown 12U,Minnechaug 12U White,Belchertown 12U,Minnechaug 12U White,0.6750978122926915,Minnechaug 12U White,0.7079109182695135,Minnechaug 12U White,0.7114145068889435,False,False,False
2026-05-08,Southington 12U White,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Southington 12U White,0.5047714175560256,Southington 12U White,0.5164626137587323,Southington 12U White,0.519068997087145,False,False,False
2026-05-08,Southington 12U Blue,Connecticut Valley Youth Lacrosse,Southington 12U Blue,Connecticut Valley Youth Lacrosse,0.5282580961337544,Southington 12U Blue,0.5394866102239799,Southington 12U Blue,0.5339225589270818,False,True,True
2026-05-08,Connecticut Valley Youth Lacrosse,Minnechaug 12U White,Connecticut Valley Youth Lacrosse,Minnechaug 12U White,0.6119975469047993,Minnechaug 12U White,0.6355264634306765,Minnechaug 12U White,0.6341249197415643,False,False,False
2026-05-08,Connecticut Valley Youth Lacrosse,Farmington 12U Red,Farmington 12U Red,Connecticut Valley Youth Lacrosse,0.5447060577491134,Farmington 12U Red,0.5059279720976845,Farmington 12U Red,0.5094204113563046,False,True,True
2026-05-09,Connecticut Valley Youth Lacrosse,Tolland 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5855576066501622,Connecticut Valley Youth Lacrosse,0.6391464718720619,Connecticut Valley Youth Lacrosse,0.6391543918543748,True,True,True
2026-05-09,Granby 12U,Connecticut Valley Youth Lacrosse,Granby 12U,Connecticut Valley Youth Lacrosse,0.6356958526032421,Connecticut Valley Youth Lacrosse,0.6300474746801085,Connecticut Valley Youth Lacrosse,0.6274230029698618,False,False,False
2026-05-09,Connecticut Valley Youth Lacrosse,South Windsor 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5016105298225735,Connecticut Valley Youth Lacrosse,0.5063434354322555,Connecticut Valley Youth Lacrosse,0.5055211952992698,True,True,True
2026-05-09,Connecticut Valley Youth Lacrosse,Burlington 12U,Connecticut Valley Youth Lacrosse,Burlington 12U,0.5837049262278953,Burlington 12U,0.6453990288807527,Burlington 12U,0.6386999133513478,False,False,False
