team,games_played,avg_points_for,avg_points_against,avg_margin,adjusted_offense_rating,adjusted_defense_rating,adjusted_margin_rating,power_rating_v2,power_rank_v2,confidence_tier,shrinkage_multiplier
Wethersfield 12U A,7,7.857142857142857,7.142857142857143,0.7142857142857143,2.0751329207705047,-1.0227490630175196,0.7988102501525319,0.4659726459223103,19,high,0.5833333333333334
Meriden 12U,12,4.916666666666667,4.333333333333333,0.5833333333333334,-1.0099272930648766,1.6388655853840417,0.5944083240119312,0.41958234636136327,20,high,0.7058823529411765
Burlington 12U,8,8.125,8.125,0.0,2.0914429530201346,-2.0757829977628637,0.5034256152125278,0.30980037859232484,21,high,0.6153846153846154
Farmington 12U Red,16,5.125,4.75,0.375,-0.2843651035765128,0.338032923917991,0.29466695508536955,0.22450815625551965,22,high,0.7619047619047619
Suffield B,1,6.0,5.0,1.0,-0.03355704697986539,1.0492170022371363,1.0039149888143177,0.1673191648023863,23,very low,0.16666666666666666
Connecticut Valley Youth Lacrosse,447,6.049217002237136,6.033557046979865,0.015659955257270694,-0.0008417508417508557,-0.028892310771505395,0.016548485382378013,0.016365426915758787,24,high,0.9889380530973452
Ellington 12U,9,5.0,6.222222222222222,-1.2222222222222223,-1.0335570469798654,-0.173005219985086,0.0039149888143175104,0.002516778523489828,25,high,0.6428571428571429
Vernon 12U,10,5.6,5.5,0.1,-0.4335570469798654,0.5492170022371363,0.0035234899328858036,0.0023489932885905358,26,high,0.6666666666666666
Berlin 12U A,11,4.909090909090909,4.545454545454546,0.36363636363636365,-1.1244661378889562,1.503762456782591,-0.08735001016880227,-0.06005313199105156,27,high,0.6875
Westfield 12U Black,9,5.777777777777778,5.777777777777778,0.0,-0.2557792692020876,0.27143922445935853,-0.10763112105393977,-0.06919143496324699,28,high,0.6428571428571429
Belchertown 12U,10,5.4,5.6,-0.2,-0.6335570469798654,0.44921700223713634,-0.1960850111856825,-0.130723340790455,29,high,0.6666666666666666
Somers 12U White,7,7.142857142857143,7.142857142857143,0.0,1.1093000958772774,-1.0936401406200065,-0.28291786513263034,-0.1650354213273677,30,high,0.5833333333333334
South Windsor 12U,11,7.2727272727272725,8.727272727272727,-1.4545454545454546,1.2391702257474073,-2.678055725035591,-0.36043319097010384,-0.2477978187919464,31,high,0.6875
Somers 12U Red,8,4.25,4.75,-0.5,-1.7835570469798654,1.2992170022371363,-0.4960850111856824,-0.30528308380657376,32,high,0.6153846153846154
Colchester 12U,7,4.857142857142857,5.428571428571429,-0.5714285714285714,-1.1764141898370082,0.6206455736657077,-0.5675135826142539,-0.3310495898583148,33,high,0.5833333333333334
Longmeadow 12U White,1,3.0,5.0,-2.0,-3.0335570469798654,1.0492170022371363,-1.9960850111856823,-0.3326808351976137,34,very low,0.16666666666666666
Simsbury,1,3.0,6.0,-3.0,-3.0335570469798654,0.04921700223713632,-2.9960850111856825,-0.4993475018642804,35,very low,0.16666666666666666
West Hartford Green,1,3.0,6.0,-3.0,-3.0335570469798654,0.04921700223713632,-2.9960850111856825,-0.4993475018642804,36,very low,0.16666666666666666
East Longmeadow 12U White,8,5.625,6.5,-0.875,-0.4085570469798654,-0.4507829977628637,-0.9965743847874722,-0.6132765444845983,37,high,0.6153846153846154
Longmeadow 12U Black,10,6.5,7.6,-1.1,0.4664429530201346,-1.5507829977628638,-0.996868008948546,-0.6645786726323639,38,high,0.6666666666666666
Simsbury 14U Blue,1,5.0,9.0,-4.0,-1.0335570469798654,-2.9507829977628637,-3.9960850111856825,-0.6660141685309471,39,very low,0.16666666666666666
Agawam 12U,12,6.916666666666667,8.833333333333334,-1.9166666666666667,0.8831096196868012,-2.7841163310961967,-1.4967375093214021,-1.0565205948151075,40,high,0.7058823529411765
East Longmeadow 12U A,13,6.3076923076923075,8.846153846153847,-2.5384615384615383,0.2741352607124423,-2.7969368439167104,-1.6117707795560146,-1.1640566741237883,41,high,0.7222222222222222
Tolland,1,3.0,10.0,-7.0,-3.0335570469798654,-3.9507829977628637,-6.9960850111856825,-1.166014168530947,42,very low,0.16666666666666666
Southington 12U White,9,3.0,5.0,-2.0,-2.8909395973154357,0.9465262242107878,-1.8749922321650512,-1.2053521492489616,43,high,0.6428571428571429
Bristol 12U,15,3.533333333333333,5.866666666666666,-2.3333333333333335,-2.500223713646532,0.18255033557046965,-1.7294183445190157,-1.2970637583892617,44,high,0.75
Glastonbury 12U Blue,11,3.090909090909091,5.2727272727272725,-2.1818181818181817,-2.825960951799878,0.6924700020337603,-2.078827282896075,-1.4291937569910516,45,high,0.6875
Granby 12U,9,3.6666666666666665,6.333333333333333,-2.6666666666666665,-2.1712426276184664,-0.2289788262942626,-2.3782681400131067,-1.5288866614369974,46,high,0.6428571428571429
Simsbury 12U Blue,11,3.727272727272727,6.636363636363637,-2.909090909090909,-2.189597315436241,-0.6711663616026033,-2.806100010168802,-1.9291937569910513,47,high,0.6875
Newington 12U,11,2.8181818181818183,6.818181818181818,-4.0,-3.215375228798047,-0.7689648159446819,-2.8142668293675004,-1.9348084451901566,48,high,0.6875
Northampton 12U,12,3.5833333333333335,7.5,-3.9166666666666665,-2.450223713646532,-1.4507829977628637,-3.579418344519016,-2.526648243189894,49,high,0.7058823529411765
West Hartford 12U White,11,2.4545454545454546,6.181818181818182,-3.727272727272727,-3.462324588163514,-0.2166209070571488,-3.7151909192597117,-2.554193756991052,50,high,0.6875
Middletown 12U,10,2.3,6.2,-3.9,-3.7335570469798656,-0.1507829977628637,-3.896085011185683,-2.597390007457122,51,high,0.6666666666666666
Farmington 12U Black,7,5.428571428571429,11.714285714285714,-6.285714285714286,-0.6049856184084368,-5.665068712048578,-4.853227868328539,-2.831049589858315,52,high,0.5833333333333334
Simsbury 12U A,11,4.909090909090909,11.909090909090908,-7.0,-0.9643907038659933,-5.814761402924917,-5.399333481243183,-3.712041768354688,53,high,0.6875
South Hadley 12U,13,3.6923076923076925,12.538461538461538,-8.846153846153847,-2.341249354672173,-6.489244536224403,-5.150232318017553,-3.7196122296793437,54,high,0.7222222222222222
Tolland 12U,7,2.4285714285714284,11.285714285714286,-8.857142857142858,-3.604985618408437,-5.236497283477149,-7.567513582614254,-4.414382923191648,55,high,0.5833333333333334
