snapshot_date,snapshot_label,team,power_rank,power_rating,elo,offense_strength,defense_strength,sos_rank,momentum_score,last3_win_pct,last5_win_pct,wins,losses,games_played
2026-04-17,Week 2,West Hartford 12U Gold,5.0,1.331892203772947,1523.1364778690015,8.613061664237275,4.352351226313455,22.0,20.85,1.0,1.0,1,0,1
2026-04-17,Week 2,West Hartford 12U Green,,,,,,,,,,0,0,0
2026-04-17,Week 2,West Hartford 12U White,,,,,,,,,,0,0,0
2026-04-17,Week 2,West Hartford Green,,,,,,,,,,0,0,0
2026-04-17,Week 2,West Springfield 12U,,,,,,,,,,0,0,0
2026-04-17,Week 2,Westfield 12U Black,11.0,0.27605946084489136,1515.4577027039502,-1.536311376515074,2.1315048313291283,23.0,0.625,0.6666666666666666,0.5,2,2,4
2026-04-17,Week 2,Westfield 12U Red,1.0,2.356586380374218,1554.828325670665,3.4994399728234606,4.624569861992387,5.0,15.416666666666668,1.0,1.0,3,0,3
2026-04-17,Week 2,Wethersfield 12U A,,,,,,,,,,0,0,0
2026-04-17,Week 2,Wethersfield 12U B,,,,,,,,,,0,0,0
2026-04-17,Week 2,Wolcott 12U,7.0,0.831892203772947,1516.5037782448405,2.613061664237276,2.3523512263134547,24.0,11.05,1.0,1.0,1,0,1
2026-04-24,Week 3,Agawam 12U,40.0,-2.141785548411279,1459.9020212057048,-3.248188366407105,-4.712865180988319,1.0,-16.0,0.0,0.0,0,2,2
2026-04-24,Week 3,Avon 12U,,,,,,,,,,0,0,0
2026-04-24,Week 3,Avon 12U B,,,,,,,,,,0,0,0
2026-04-24,Week 3,Belchertown 12U,29.0,-0.8307128923763722,1483.335305626949,-2.736216301225862,-2.2008931158070757,2.0,-11.05,0.0,0.0,0,1,1
2026-04-24,Week 3,Berkshire,,,,,,,,,,0,0,0
2026-04-24,Week 3,Berlin 12U A,24.0,-0.3307128923763724,1489.311208218874,-3.7362163012258613,1.799106884192924,3.0,-7.1,0.0,0.0,0,1,1
2026-04-24,Week 3,Bristol 12U,22.0,-0.13321753817343196,1503.499535564736,-2.5670094583020666,0.6938710106833331,33.0,0.7499999999999996,0.6666666666666666,0.6666666666666666,2,1,3
2026-04-24,Week 3,Burlington 12U,4.0,2.146057249018876,1537.8824209096213,5.277353242686691,2.7923221122366484,4.0,15.2,1.0,1.0,2,0,2
2026-04-24,Week 3,Colchester 12U,14.0,0.33595377429029427,1510.9123185835253,-1.7362163012258618,3.799106884192924,5.0,7.1,1.0,1.0,1,0,1
2026-04-24,Week 3,Connecticut Valley Youth Lacrosse,20.0,0.04189160715374983,1518.989334430656,2.373881982275729e-05,4.1719838992981444e-05,42.0,1.4999999999999998,0.6666666666666666,0.6,38,40,78
2026-04-24,Week 3,East Longmeadow 12U A,19.0,0.06741841133981503,1505.1650642892994,1.4125497745475135,-3.0966178290500372,34.0,0.7666666666666664,0.6666666666666666,0.6666666666666666,2,1,3
2026-04-24,Week 3,East Longmeadow 12U White,25.0,-0.37680379076356224,1496.2382801608928,0.5296085593841742,-1.801253889831346,6.0,-4.45,0.5,0.5,1,1,2
2026-04-24,Week 3,Ellington 12U,41.0,-2.281222101216638,1449.1141404705145,-4.856799769621324,-8.640601381609345,7.0,-21.675,0.0,0.0,0,2,2
2026-04-24,Week 3,Farmington 12U Black,42.0,-2.281222101216638,1453.9684825591935,-3.9983617202020603,-8.897502180039224,8.0,-21.425,0.0,0.0,0,2,2
2026-04-24,Week 3,Farmington 12U Red,33.0,-1.1640462257097055,1479.4531727744973,-5.736216301225862,-1.2008931158070757,9.0,-13.15,0.0,0.0,0,1,1
2026-04-24,Week 3,Glastonbury 12U Blue,12.0,0.6692871076236276,1515.8789190147863,0.2637836987741382,3.799106884192924,10.0,9.6,1.0,1.0,1,0,1
2026-04-24,Week 3,Glastonbury 12U White,,,,,,,,,,0,0,0
2026-04-24,Week 3,Granby 12U,31.0,-0.997379559043039,1482.6228888418125,-4.736216301225862,-1.2008931158070757,11.0,-11.9,0.0,0.0,0,1,1
2026-04-24,Week 3,Longmeadow 12U Black,,,,,,,,,,0,0,0
2026-04-24,Week 3,Longmeadow 12U White,,,,,,,,,,0,0,0
2026-04-24,Week 3,Meriden 12U,38.0,-1.4630404767833067,1459.5539320870994,-3.371058936068497,-0.48321439812835804,35.0,-10.2,0.0,0.0,0,3,3
2026-04-24,Week 3,Middletown 12U,27.0,-0.4327501328398798,1479.9021588026667,-4.675520079863173,3.20806255214889,12.0,-7.875,0.0,0.0,0,2,2
2026-04-24,Week 3,Minnechaug 12U,6.0,1.5367914358497532,1534.820006537865,5.21455292954337,2.1766567417427822,36.0,11.833333333333334,0.6666666666666666,0.6666666666666666,2,1,3
2026-04-24,Week 3,Minnechaug 12U White,11.0,0.7597475129861612,1518.6434932462723,0.8498198886000174,1.8564643440768436,13.0,5.125,0.5,0.5,1,1,2
2026-04-24,Week 3,Newington 12U,34.0,-1.197429130999547,1471.6117437332648,-2.8478747577119043,-0.29810165439492464,37.0,-6.616666666666667,0.3333333333333333,0.3333333333333333,1,2,3
2026-04-24,Week 3,Northampton 12U,35.0,-1.2398421599095724,1460.2724702407513,0.2706026554737632,-3.529680478007326,38.0,-9.566666666666668,0.0,0.0,0,3,3
2026-04-24,Week 3,RHAM 12U,7.0,1.3333333333333333,1520.5387220637604,4.263783698774138,3.7991068841929247,14.0,14.2,1.0,1.0,1,0,1
2026-04-24,Week 3,Simsbury,,,,,,,,,,0,0,0
2026-04-24,Week 3,Simsbury 12U A,23.0,-0.33071289237637236,1489.3028549795654,3.263783698774138,-5.200893115807076,15.0,-7.1,0.0,0.0,0,1,1
2026-04-24,Week 3,Simsbury 12U Blue,26.0,-0.4254139417647542,1479.663188879331,-1.736216301225862,0.29443544227451884,16.0,-7.475,0.0,0.0,0,2,2
2026-04-24,Week 3,Simsbury 14U Blue,,,,,,,,,,0,0,0
2026-04-24,Week 3,Somers 12U Red,21.0,0.010006130185282295,1500.0092291212557,-1.7169174913191392,1.7991068841929243,17.0,0.6000000000000001,0.5,0.5,1,1,2
2026-04-24,Week 3,Somers 12U White,36.0,-1.3307128923763722,1472.549803727084,-5.736216301225862,-7.200893115807076,18.0,-20.45,0.0,0.0,0,1,1
2026-04-24,Week 3,Somers Juniors,9.0,1.1692871076236275,1520.5783046630008,2.263783698774138,4.799106884192924,19.0,13.15,1.0,1.0,1,0,1
2026-04-24,Week 3,South Hadley 12U,39.0,-1.8444989089457178,1458.4440497260923,-1.2076851282776406,-9.615299596962414,20.0,-18.75,0.0,0.0,0,2,2
2026-04-24,Week 3,South Windsor 12U,32.0,-1.035020577521894,1483.8380544735742,-1.8284127459381243,-3.2930895605193387,21.0,-9.45,0.5,0.5,1,1,2
2026-04-24,Week 3,Southington 12U Blue,5.0,1.611910526096736,1533.6764988784269,3.8467245674292925,2.093089092460847,39.0,9.766666666666666,0.6666666666666666,0.6666666666666666,2,1,3
2026-04-24,Week 3,Southington 12U White,30.0,-0.8307128923763722,1482.238195384535,-3.736216301225862,-1.2008931158070757,22.0,-11.05,0.0,0.0,0,1,1
2026-04-24,Week 3,Suffield 12U,1.0,3.0,1566.8596356635733,7.272184538858146,5.462973270831587,40.0,20.833333333333332,1.0,1.0,3,0,3
2026-04-24,Week 3,Suffield 12U White,8.0,1.200938571499405,1528.5002859467531,0.9982366419068283,3.2522162955663863,23.0,11.4,1.0,1.0,2,0,2
2026-04-24,Week 3,Suffield B,,,,,,,,,,0,0,0
2026-04-24,Week 3,Suffield Juniors 1 Blue,,,,,,,,,,0,0,0
2026-04-24,Week 3,Tolland,,,,,,,,,,0,0,0
2026-04-24,Week 3,Tolland 12U,,,,,,,,,,0,0,0
2026-04-24,Week 3,Vernon 12U,37.0,-1.3307128923763722,1478.0957565325734,-3.736216301225862,-4.200893115807076,24.0,-14.2,0.0,0.0,0,1,1
2026-04-24,Week 3,West Hartford 12U Gold,3.0,2.2857142857142856,1550.020778652475,9.82454815483425,4.920635796313147,25.0,23.325,1.0,1.0,2,0,2
2026-04-24,Week 3,West Hartford 12U Green,10.0,1.1692871076236275,1520.6138600061515,1.2637836987741382,5.799106884192924,26.0,13.15,1.0,1.0,1,0,1
2026-04-24,Week 3,West Hartford 12U White,28.0,-0.6640462257097057,1484.1384445436731,-3.7362163012258622,-0.2008931158070757,27.0,-9.8,0.0,0.0,0,1,1
2026-04-24,Week 3,West Hartford Green,,,,,,,,,,0,0,0
2026-04-24,Week 3,West Springfield 12U,18.0,0.1692871076236276,1510.0038449787305,-1.7362163012258618,2.7991068841929243,28.0,6.05,1.0,1.0,1,0,1
2026-04-24,Week 3,Westfield 12U Black,17.0,0.2610770547290886,1515.4577027039502,-0.930622258967462,1.5652135693332083,29.0,0.825,0.6666666666666666,0.5,2,2,4
2026-04-24,Week 3,Westfield 12U Red,2.0,2.370730870655661,1554.828325670665,4.201833681174701,4.099118617150803,41.0,15.416666666666668,1.0,1.0,3,0,3
2026-04-24,Week 3,Wethersfield 12U A,15.0,0.33595377429029427,1511.2687366153625,5.263783698774138,-3.2008931158070757,30.0,7.1,1.0,1.0,1,0,1
2026-04-24,Week 3,Wethersfield 12U B,16.0,0.33595377429029427,1511.3257651460588,0.2637836987741382,1.7991068841929243,31.0,7.1,1.0,1.0,1,0,1
2026-04-24,Week 3,Wolcott 12U,13.0,0.37648890630867304,1516.9710643444253,-0.3914046891196234,1.2856726655394344,32.0,4.95,0.6666666666666666,0.75,3,1,4
2026-05-01,Week 4,Agawam 12U,33.0,-0.7706561199713549,1489.5767084836655,0.8071465823318676,-2.741918560397072,1.0,-2.525,0.6666666666666666,0.5,2,2,4
2026-05-01,Week 4,Avon 12U,20.0,0.27711402514447137,1503.880028694787,0.4226115880472017,0.5745096192951771,2.0,0.25,0.5,0.5,1,1,2
2026-05-01,Week 4,Avon 12U B,19.0,0.2811137020164272,1503.5152654307576,-2.0626978050378257,3.0738178814320505,3.0,0.85,0.5,0.5,1,1,2
2026-05-01,Week 4,Belchertown 12U,28.0,-0.2862619366304401,1504.7680664669197,-0.9548127645072438,0.2186697194961323,4.0,0.4166666666666663,0.6666666666666666,0.6666666666666666,2,1,3
2026-05-01,Week 4,Berkshire,,,,,,,,,,0,0,0
2026-05-01,Week 4,Berlin 12U A,30.0,-0.5744100450588192,1490.0491881920568,-1.9606714482289835,0.45613344740886136,5.0,-2.150000000000001,0.3333333333333333,0.3333333333333333,1,2,3
2026-05-01,Week 4,Bristol 12U,35.0,-1.0293896816812256,1470.8227580726061,-2.3503268252322904,-0.5753216678585021,6.0,-5.95,0.3333333333333333,0.4,2,3,5
2026-05-01,Week 4,Burlington 12U,6.0,1.86538926822278,1546.9046911249861,3.772185536453446,1.5383261009892726,7.0,11.883333333333335,1.0,1.0,3,0,3
2026-05-01,Week 4,Colchester 12U,11.0,1.318751486787716,1530.605198703452,0.022547126144651656,4.620305196949083,8.0,12.025,1.0,1.0,2,0,2
2026-05-01,Week 4,Connecticut Valley Youth Lacrosse,23.0,0.02221343614163712,1526.6829042881,1.526423231140928e-05,1.256189075924977e-05,49.0,5.6,0.6666666666666666,0.6,81,84,165
2026-05-01,Week 4,East Longmeadow 12U A,45.0,-1.8145824087533078,1446.6139995982996,-0.0009965371689566508,-4.925378415500019,9.0,-6.7,0.0,0.4,2,4,6
2026-05-01,Week 4,East Longmeadow 12U White,26.0,-0.27478409177332846,1496.113033375129,0.910698869546497,-1.6162343282719775,10.0,-2.9,0.3333333333333333,0.3333333333333333,1,2,3
2026-05-01,Week 4,Ellington 12U,48.0,-2.16908581117134,1442.7465375592553,-3.565677633888682,-3.8412184441594945,11.0,-12.5875,0.3333333333333333,0.25,1,3,4
2026-05-01,Week 4,Farmington 12U Black,39.0,-1.3443993463165624,1472.3001457390187,-0.10844120086787658,-6.444990070298506,12.0,-8.416666666666668,0.3333333333333333,0.3333333333333333,1,2,3
2026-05-01,Week 4,Farmington 12U Red,22.0,0.09199504592306036,1502.9716612226189,-1.8838928787796534,2.2330976588470937,13.0,2.6,0.5,0.5,1,1,2
2026-05-01,Week 4,Glastonbury 12U Blue,40.0,-1.4056510597986585,1458.7431554687203,-3.9089213480937848,0.7734285828835314,14.0,-7.65,0.0,0.25,1,3,4
2026-05-01,Week 4,Glastonbury 12U White,27.0,-0.2831217029203115,1480.4642894228248,1.4145589687934255,-2.378262809677786,15.0,-7.05,0.0,0.0,0,2,2
2026-05-01,Week 4,Granby 12U,42.0,-1.7116931314917398,1463.6176127496576,-3.965731804123052,-1.997972036761309,16.0,-14.7,0.0,0.0,0,2,2
2026-05-01,Week 4,Longmeadow 12U Black,36.0,-1.3318209933701814,1476.7380449636069,-4.062697805037826,-4.901006035846535,17.0,-15.65,0.0,0.0,0,1,1
2026-05-01,Week 4,Longmeadow 12U White,29.0,-0.33182099337018167,1489.5986964417118,-3.0626978050378257,1.0989939641534647,18.0,-8.3,0.0,0.0,0,1,1
2026-05-01,Week 4,Meriden 12U,41.0,-1.4813570077710436,1459.5539320870994,-3.713751131482921,-0.20931210323646696,19.0,-10.8,0.0,0.0,0,3,3
2026-05-01,Week 4,Middletown 12U,38.0,-1.3330169881693286,1459.6387010005346,-3.922284299162472,0.3947944500476585,20.0,-11.566666666666668,0.0,0.0,0,3,3
2026-05-01,Week 4,Minnechaug 12U,3.0,2.5226289660942607,1569.7531034947385,5.0062358770671125,2.0869921177155515,21.0,7.85,0.6666666666666666,0.6,4,2,6
2026-05-01,Week 4,Minnechaug 12U White,8.0,1.589722686751261,1549.0952288292174,0.4287075745579088,3.1753905899691577,22.0,6.675,1.0,0.75,3,1,4
2026-05-01,Week 4,Newington 12U,47.0,-2.0256855267727665,1424.5800047552198,-3.7802825399038444,-1.2605698891613528,23.0,-13.0,0.0,0.0,1,5,6
2026-05-01,Week 4,Northampton 12U,44.0,-1.8044145703599286,1433.8949006585483,-2.0729665400170694,-1.5086404813660585,24.0,-8.7,0.0,0.0,0,5,5
2026-05-01,Week 4,RHAM 12U,2.0,3.0,1563.548409920116,5.324095113046704,3.741199418609252,25.0,16.65,1.0,1.0,3,0,3
2026-05-01,Week 4,Simsbury,,,,,,,,,,0,0,0
2026-05-01,Week 4,Simsbury 12U A,43.0,-1.7587724392402952,1446.9477782337917,1.5936743800648716,-8.607860774772542,26.0,-13.95,0.0,0.0,0,3,3
2026-05-01,Week 4,Simsbury 12U Blue,34.0,-0.8503085475779729,1465.5558785832181,-1.5509597177538337,-0.12243525806538298,27.0,-3.45,0.3333333333333333,0.2,1,4,5
2026-05-01,Week 4,Simsbury 14U Blue,,,,,,,,,,0,0,0
2026-05-01,Week 4,Somers 12U Red,18.0,0.2875129671087875,1510.9117300496266,-1.6807973059896186,2.4747206709497807,28.0,3.3,0.6666666666666666,0.6666666666666666,2,1,3
2026-05-01,Week 4,Somers 12U White,15.0,0.901862818019306,1519.782676821661,3.0848165776144816,0.13228304317200246,29.0,6.0,0.6666666666666666,0.6666666666666666,2,1,3
2026-05-01,Week 4,Somers Juniors,13.0,1.1681790066298183,1520.5783046630008,1.9373021949621743,5.098993964153465,30.0,13.55,1.0,1.0,1,0,1
2026-05-01,Week 4,South Hadley 12U,49.0,-2.4192119251766564,1430.096218007528,-1.6081037062761683,-6.9384238618670215,31.0,-16.7375,0.0,0.0,0,4,4
2026-05-01,Week 4,South Windsor 12U,24.0,-0.024478205515054394,1504.1902482824416,-0.2662358389018644,-0.7390651715554059,32.0,1.5999999999999999,0.6666666666666666,0.6666666666666666,2,1,3
2026-05-01,Week 4,Southington 12U Blue,16.0,0.5210001739031601,1506.5550383083257,0.9131082371048501,0.09490663234336079,33.0,-3.85,0.3333333333333333,0.4,3,3,6
2026-05-01,Week 4,Southington 12U White,21.0,0.19899713475076058,1502.8967599111713,-1.4775087451065751,2.201220836070966,34.0,2.425,0.5,0.5,1,1,2
2026-05-01,Week 4,Suffield 12U,5.0,1.9542458406497336,1554.2621458042909,3.937879860584989,2.682497050104029,35.0,11.15,0.6666666666666666,0.8,4,1,5
2026-05-01,Week 4,Suffield 12U White,14.0,0.9679812692888075,1529.7019708329917,-0.8484739385390853,3.053653913775631,36.0,4.3125,0.6666666666666666,0.75,3,1,4
2026-05-01,Week 4,Suffield B,,,,,,,,,,0,0,0
2026-05-01,Week 4,Suffield Juniors 1 Blue,10.0,1.3333333333333333,1527.7625439630108,6.937302194962174,6.098993964153465,37.0,21.25,1.0,1.0,1,0,1
2026-05-01,Week 4,Tolland,,,,,,,,,,0,0,0
2026-05-01,Week 4,Tolland 12U,37.0,-1.3318209933701817,1478.332525411886,-5.062697805037826,-4.901006035846535,38.0,-16.9,0.0,0.0,0,1,1
2026-05-01,Week 4,Vernon 12U,32.0,-0.6426524323230469,1485.963383845702,-0.9241047346913432,-0.7624129655000529,39.0,-2.366666666666667,0.3333333333333333,0.3333333333333333,1,2,3
2026-05-01,Week 4,West Hartford 12U Gold,1.0,3.2000063519924438,1615.7819054700285,6.401256087743015,3.5171635870480835,40.0,17.0,1.0,1.0,6,0,6
2026-05-01,Week 4,West Hartford 12U Green,9.0,1.4769904391650739,1543.7424370252174,-0.44689932130097076,4.412762611744563,41.0,10.8,1.0,1.0,3,0,3
2026-05-01,Week 4,West Hartford 12U White,46.0,-1.8927667527607361,1440.2493222883584,-3.4983552342831086,-0.7331478400918183,42.0,-10.7125,0.0,0.0,0,4,4
2026-05-01,Week 4,West Hartford Green,,,,,,,,,,0,0,0
