game_date,home_team,away_team,actual_winner,elo_predicted_winner,elo_win_probability,power_v2_predicted_winner,power_v2_win_probability,hybrid_predicted_winner,hybrid_win_probability,elo_correct,power_v2_correct,hybrid_correct
2026-05-15,Suffield 12U White,Connecticut Valley Youth Lacrosse,Suffield 12U White,Suffield 12U White,0.585401040503886,Suffield 12U White,0.5676150802374761,Suffield 12U White,0.5570804705184198,True,True,True
2026-05-15,Wolcott 12U,Connecticut Valley Youth Lacrosse,Wolcott 12U,Wolcott 12U,0.6047208858370879,Wolcott 12U,0.5932923823834005,Wolcott 12U,0.5769006872881935,True,True,True
2026-05-15,Connecticut Valley Youth Lacrosse,Simsbury 12U A,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5496597729194512,Connecticut Valley Youth Lacrosse,0.6345326829023167,Connecticut Valley Youth Lacrosse,0.596019406075002,True,True,True
2026-05-15,Connecticut Valley Youth Lacrosse,South Hadley 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.649638877569972,Connecticut Valley Youth Lacrosse,0.7119140986509349,Connecticut Valley Youth Lacrosse,0.6641645647198493,True,True,True
2026-05-15,Glastonbury 12U White,Connecticut Valley Youth Lacrosse,Glastonbury 12U White,Connecticut Valley Youth Lacrosse,0.5114561947182177,Connecticut Valley Youth Lacrosse,0.5084471749223329,Connecticut Valley Youth Lacrosse,0.5072323632769715,False,False,False
2026-05-15,Berlin 12U A,Connecticut Valley Youth Lacrosse,Berlin 12U A,Berlin 12U A,0.5302794133468489,Connecticut Valley Youth Lacrosse,0.517859433076781,Connecticut Valley Youth Lacrosse,0.5070049112445012,True,False,False
2026-05-15,Connecticut Valley Youth Lacrosse,Middletown 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5319645986545203,Connecticut Valley Youth Lacrosse,0.6078274005784988,Connecticut Valley Youth Lacrosse,0.5754894904872724,True,True,True
2026-05-15,Connecticut Valley Youth Lacrosse,Glastonbury 12U Blue,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5295324625046218,Connecticut Valley Youth Lacrosse,0.5813295035361401,Connecticut Valley Youth Lacrosse,0.5575756780933306,True,True,True
2026-05-16,West Springfield 12U,Connecticut Valley Youth Lacrosse,West Springfield 12U,West Springfield 12U,0.6414818911212427,West Springfield 12U,0.6447750559562675,West Springfield 12U,0.6167871318229201,True,True,True
2026-05-16,Connecticut Valley Youth Lacrosse,Agawam 12U,Connecticut Valley Youth Lacrosse,Agawam 12U,0.5131559254791485,Connecticut Valley Youth Lacrosse,0.5733841712408938,Connecticut Valley Youth Lacrosse,0.5459167682508719,False,True,True
2026-05-16,Longmeadow 12U Black,Connecticut Valley Youth Lacrosse,Longmeadow 12U Black,Longmeadow 12U Black,0.5291806400271936,Connecticut Valley Youth Lacrosse,0.5010628065961313,Longmeadow 12U Black,0.5037496974023942,True,False,True
2026-05-16,Connecticut Valley Youth Lacrosse,Glastonbury 12U Blue,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5393147171279173,Connecticut Valley Youth Lacrosse,0.5847688761761031,Connecticut Valley Youth Lacrosse,0.5613151364657508,True,True,True
2026-05-16,Belchertown 12U,Connecticut Valley Youth Lacrosse,Belchertown 12U,Belchertown 12U,0.5358850546066666,Connecticut Valley Youth Lacrosse,0.535044992479825,Connecticut Valley Youth Lacrosse,0.5173456608161637,True,False,False
2026-05-16,Connecticut Valley Youth Lacrosse,Northampton 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5682400959645095,Connecticut Valley Youth Lacrosse,0.6070275183504484,Connecticut Valley Youth Lacrosse,0.5803946794012574,True,True,True
2026-05-16,Avon 12U B,Connecticut Valley Youth Lacrosse,Avon 12U B,Avon 12U B,0.5771837667607151,Avon 12U B,0.5505608343019038,Avon 12U B,0.5446844341224026,True,True,True
2026-05-16,Connecticut Valley Youth Lacrosse,South Hadley 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.642087284720622,Connecticut Valley Youth Lacrosse,0.704715195676375,Connecticut Valley Youth Lacrosse,0.657965445981234,True,True,True
2026-05-17,Suffield 12U White,Connecticut Valley Youth Lacrosse,Tie,Suffield 12U White,0.6102383106453793,Suffield 12U White,0.5728925805056181,Suffield 12U White,0.5643968102580431,False,False,False
2026-05-17,Simsbury 12U A,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5968018940737845,Connecticut Valley Youth Lacrosse,0.6483252602620744,Connecticut Valley Youth Lacrosse,0.6123508843781771,True,True,True
2026-05-17,RHAM 12U,Connecticut Valley Youth Lacrosse,RHAM 12U,RHAM 12U,0.665950732913162,RHAM 12U,0.6998038722157462,RHAM 12U,0.6581380503448704,True,True,True
2026-05-17,Connecticut Valley Youth Lacrosse,Minnechaug 12U,Connecticut Valley Youth Lacrosse,Minnechaug 12U,0.6792898810152592,Minnechaug 12U,0.6932461907736054,Minnechaug 12U,0.6556685443463615,False,False,False
2026-05-17,Wethersfield 12U A,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Wethersfield 12U A,0.50174609217808,Wethersfield 12U A,0.5396250560783168,Wethersfield 12U A,0.5260522098807333,False,False,False
2026-05-17,Connecticut Valley Youth Lacrosse,Avon 12U,Avon 12U,Connecticut Valley Youth Lacrosse,0.5083852696770768,Avon 12U,0.575311360551658,Avon 12U,0.5479055976641076,False,True,True
2026-05-17,Connecticut Valley Youth Lacrosse,West Hartford 12U Green,Connecticut Valley Youth Lacrosse,West Hartford 12U Green,0.5868299442953333,West Hartford 12U Green,0.6483811738021841,West Hartford 12U Green,0.6108982124589515,False,False,False
2026-05-17,Suffield 12U,Connecticut Valley Youth Lacrosse,Suffield 12U,Suffield 12U,0.5285750914879844,Suffield 12U,0.6201203395960729,Suffield 12U,0.5832018575862221,True,True,True
2026-05-17,Connecticut Valley Youth Lacrosse,Minnechaug 12U White,Tie,Minnechaug 12U White,0.5565360802943977,Minnechaug 12U White,0.5912349706942974,Minnechaug 12U White,0.568177619041563,False,False,False
2026-05-17,Wethersfield 12U B,Connecticut Valley Youth Lacrosse,Wethersfield 12U B,Connecticut Valley Youth Lacrosse,0.5197560513978549,Connecticut Valley Youth Lacrosse,0.5060474321403974,Connecticut Valley Youth Lacrosse,0.5069351224567524,False,False,False
2026-05-17,Connecticut Valley Youth Lacrosse,Glastonbury 12U White,Glastonbury 12U White,Connecticut Valley Youth Lacrosse,0.5117960602532984,Glastonbury 12U White,0.5236210334631091,Glastonbury 12U White,0.513568407021747,False,True,True
2026-05-18,Connecticut Valley Youth Lacrosse,East Longmeadow 12U White,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5218059453925478,Connecticut Valley Youth Lacrosse,0.5626440721243715,Connecticut Valley Youth Lacrosse,0.5441352378061806,True,True,True
2026-05-18,Ellington 12U,Connecticut Valley Youth Lacrosse,Ellington 12U,Connecticut Valley Youth Lacrosse,0.5329127884004292,Connecticut Valley Youth Lacrosse,0.5762414182093376,Connecticut Valley Youth Lacrosse,0.554736299353644,False,False,False
2026-05-18,Southington 12U Blue,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Southington 12U Blue,0.5871804293858169,Southington 12U Blue,0.5704448405605318,Southington 12U Blue,0.5592052076521858,False,False,False
2026-05-18,Northampton 12U,Connecticut Valley Youth Lacrosse,Northampton 12U,Connecticut Valley Youth Lacrosse,0.6353277214611879,Connecticut Valley Youth Lacrosse,0.6090070350559575,Connecticut Valley Youth Lacrosse,0.5920446767788725,False,False,False
2026-05-18,Southington 12U White,Connecticut Valley Youth Lacrosse,Southington 12U White,Connecticut Valley Youth Lacrosse,0.5371390725986783,Connecticut Valley Youth Lacrosse,0.5555052239463028,Connecticut Valley Youth Lacrosse,0.5417856833770688,False,False,False
2026-05-18,Connecticut Valley Youth Lacrosse,Granby 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5611752674452498,Connecticut Valley Youth Lacrosse,0.6028734403476316,Connecticut Valley Youth Lacrosse,0.5765744022170414,True,True,True
2026-05-18,Connecticut Valley Youth Lacrosse,Somers 12U White,Connecticut Valley Youth Lacrosse,Somers 12U White,0.6332585855480541,Somers 12U White,0.6083047342258234,Somers 12U White,0.5912540732961143,False,False,False
2026-05-18,Bristol 12U,Connecticut Valley Youth Lacrosse,Bristol 12U,Connecticut Valley Youth Lacrosse,0.6180573984018393,Connecticut Valley Youth Lacrosse,0.598416174930956,Connecticut Valley Youth Lacrosse,0.5823496290176816,False,False,False
2026-05-18,Connecticut Valley Youth Lacrosse,Glastonbury 12U White,Glastonbury 12U White,Glastonbury 12U White,0.5310313238386797,Glastonbury 12U White,0.560780928977784,Glastonbury 12U White,0.5443103307639028,True,True,True
2026-05-18,Connecticut Valley Youth Lacrosse,Glastonbury 12U Blue,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5765969347212708,Connecticut Valley Youth Lacrosse,0.603194102385217,Connecticut Valley Youth Lacrosse,0.5791185702747224,True,True,True
2026-05-18,Minnechaug 12U,Somers 12U White,Minnechaug 12U,Minnechaug 12U,0.5129643849256046,Minnechaug 12U,0.5585795085639674,Minnechaug 12U,0.54013686701905,True,True,True
2026-05-18,Somers 12U Red,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Somers 12U Red,0.5200083686416287,Somers 12U Red,0.5015466888346142,Somers 12U Red,0.5040482208852342,False,False,False
2026-05-18,Longmeadow 12U Black,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Longmeadow 12U Black,0.530365330099143,Longmeadow 12U Black,0.5304162994170395,Longmeadow 12U Black,0.5243969575427575,False,False,False
2026-05-18,Connecticut Valley Youth Lacrosse,Minnechaug 12U White,Minnechaug 12U White,Minnechaug 12U White,0.5401384998829784,Minnechaug 12U White,0.5842397610931565,Minnechaug 12U White,0.5610905284865679,True,True,True
2026-05-18,Connecticut Valley Youth Lacrosse,Berlin 12U A,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5082446058065039,Berlin 12U A,0.5092156023324201,Berlin 12U A,0.5047373592101818,True,False,False
